eligible corpus rows (frozen order): 494
[128/494] deasync@0.1.31: export=True regex_literals=4 dangerous=0 qualifies=False
[129/494] node-postal@1.3.0: export=True regex_literals=0 dangerous=0 qualifies=False
[130/494] @stdlib/math-base-napi-binary@0.3.3: export=True regex_literals=1 dangerous=0 qualifies=False
[131/494] @stdlib/math-base-napi-unary@0.2.7: export=True regex_literals=1 dangerous=0 qualifies=False
[132/494] @xan105/remote-thread@1.1.0: export=True regex_literals=0 dangerous=0 qualifies=False
[133/494] @stdlib/napi@0.4.1: export=True regex_literals=0 dangerous=0 qualifies=False
[134/494] @stdlib/napi-argv-float@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[135/494] @stdlib/napi-argv-double@0.2.2: export=True regex_literals=1 dangerous=0 qualifies=False
[136/494] @stdlib/napi-create-int32@0.0.3: export=True regex_literals=1 dangerous=0 qualifies=False
[137/494] @stdlib/assert-napi-equal-types@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[138/494] @stdlib/assert-napi-is-type@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[139/494] @stdlib/napi-argv-int32@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[140/494] ref-napi@3.0.3: export=True regex_literals=3 dangerous=0 qualifies=False
[141/494] nice-napi@1.0.2: export=True regex_literals=1 dangerous=0 qualifies=False
[142/494] @stdlib/napi-create-double@0.0.3: export=True regex_literals=1 dangerous=0 qualifies=False
[143/494] @stdlib/assert-napi-is-typedarray@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[144/494] @stdlib/assert-napi-equal-typedarray-types@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[145/494] @stdlib/napi-argv-float64array@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[146/494] @stdlib/napi-argv-bool@0.1.1: export=True regex_literals=1 dangerous=0 qualifies=False
[147/494] @stdlib/math-base-napi-ternary@0.3.2: export=True regex_literals=1 dangerous=0 qualifies=False
[148/494] napi-thread-safe-callback@0.0.6: export=True regex_literals=0 dangerous=0 qualifies=False
[149/494] @stdlib/napi-argv-int64@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[150/494] uiohook-napi@1.5.5: export=True regex_literals=0 dangerous=0 qualifies=False
[151/494] @rclnodejs/ref-napi@4.0.0: export=True regex_literals=3 dangerous=0 qualifies=False
[152/494] @stdlib/napi-argv-strided-float64array@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[153/494] @2060.io/ref-napi@3.0.6: export=True regex_literals=34 dangerous=0 qualifies=False
[154/494] @rclnodejs/ref-array-di@1.2.2: export=True regex_literals=0 dangerous=0 qualifies=False
[155/494] @stdlib/napi-argv-float32array@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[156/494] @newrelic/native-metrics@13.1.0: export=True regex_literals=1 dangerous=0 qualifies=False
[157/494] @stdlib/napi-argv-strided-float32array@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[158/494] @napi-ffi/ffi-napi@4.0.7: export=True regex_literals=4 dangerous=0 qualifies=False
[159/494] nftables-napi@0.7.1: export=True regex_literals=16 dangerous=0 qualifies=False
